Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
"In a low pressure refrigeration system, excessive running of the purge system generally indicates which probable condition?",General,B,faulty purge system vent valve,overcharged system,system leaks,high ambient temperature,,,3
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,28 gpm,110 gpm,38 gpm,55 gpm,,,4
A graphite additive type grease would be effectively used for lubricating __________. * I. a topping lift winch bearing * II. a fuel oil service pump bearing,General,B,I only,II only,Both I and II,Neither I nor II,,,4
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 8"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,44 gpm,88 gpm,157 gpm,176 gpm,,,2
Design characteristics of lubricating oil sump tanks include __________.,General,B,installation of baffles to prevent excessive sloshing of oil,sufficient capacity to contain all the lube oil in the system except for the contents of the gravity tank,cooling coils made of welded seamless steel pipe,insuring the bottom of the sump is integral with the shell  plating,,,1
Excessive moisture being collected in the purge unit of a low pressure refrigeration system could indicate which probable condition?,General,B,leaking condenser or chiller tubes,low efficiency purge unit,dryer core needs replacement,improper charging of refrigerant,,,1
Low side passive charging of a refrigeration system may be  speeded up by __________.,General,B,warming the service cylinder with a torch,warming the service cylinder with hot water,inverting the service cylinder,inclining the service cylinder,,,2
"In a refrigeration system, what is meant by the term 'high  efficiency purge unit?'",General,B,Those purge units which discharge the highest percentage of  refrigerant with the air being removed.,Those purge units which discharge very little refrigerant with the air being removed.,Those purge units which draw very little electrical power.,Those purge units which need the least amount of on-going maintenance.,,,2
"A short, weighted hose is attached to the end of the P-tank fixed discharge line on board a supply boat to __________.",General,B,keep the end of the hose under water and prevent dust from  blowing on the boat,maintain a low discharge flow rate,keep the end of the fixed discharge line from excessively vibrating,All of the above,,,1
"If your vessel burns 5 tons of fuel per hour at 23 knots, how many tons per hour will it burn at 18 knots?",General,B,2.4 tons,3.9 tons,3.1 tons,3.3 tons,,,1
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 7"" diameter cylinder, a 13"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,672 gpm,195 gpm,970 gpm,390 gpm,,,4
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 14"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,308 gpm,154 gpm,77 gpm,840 pm,,,1
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 13"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,143 gpm,286 gpm,726 gpm,672 gpm,,,2
"If you have a duplex single acting reciprocating pump making 150 strokes/minute, with a 4"" diameter cylinder, a 6"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",General,B,23 gpm,34 gpm,47 gpm,93 gpm,,,3
What must be done to use standard leak detection methods on a low pressure refrigeration system?,General,B,lower the pressure in the system below atmospheric,raise the pressure in the system above atmospheric,cool the refrigerant,add HCFC-22 to the system,,,2
"If you have a duplex double acting reciprocating pump making 180 strokes/minute, with a 4"" diameter cylinder, a 12"" stroke and operating with 89% volumetric efficiency, what is the capacity of this pump?",General,B,105 gpm,314 gpm,52 gpm,209 gpm,,,4
What would be the result of throttling the suction valve to the point where the flow was less than that recommended by a centrifugal pump? * I.  The designed total net head would be reduced. * II.  The pump would begin to cavitate.,General,B,I only,II only,Both I and II,Neither I nor II,,,2
A quick method used to test a water cooled condenser for refrigerant leaks is to test the __________.,General,B,cooling water for proper pH,receiver for water content,air vents on the condenser heads with a halide torch,condenser tubes hydrostatically,,,3
"If you have a duplex single acting reciprocating pump making 150 strokes/minute, with a 5"" diameter cylinder, a 4"" stroke and operating with 97% volumetric efficiency, what is the capacity of this pump?",General,B,25 gpm,99 gpm,32 gpm,49 gpm,,,4
"Why is a short, weighted hose attached and secured to the end of the fixed discharge line from a supply boat P-tank?",General,B,To keep the end of the hose from lifting off the deck of the supply boat.,To keep down the discharge flow rate.,To prevent injury when pressurized air discharges from the  open end of the hose,All of the above,,,3
"If you have a duplex single acting reciprocating pump making 200 strokes/minute, with a 5"" diameter cylinder, a 7"" stroke and operating with 77% volumetric efficiency, what is the capacity of this pump?",General,B,92 gpm,46 gpm,180 gpm,183 gpm,,,1
"If your vessel burns 6 tons of fuel per hour at 22 knots, how many tons per hour will it burn at 17 knots?",General,B,4.6 tons,3.9 tons,2.8 tons,1.7 tons,,,3
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 10"" stroke and operating with 80% volumetric efficiency, what is the capacity of this pump?",General,B,98 gpm,272 gpm,196 gpm,49 gpm,,,3
All watertight doors and watertight hatches on small passenger vessels of less than 100 gross tons are required  to be marked in letters __________.,General,B,"of at least 1-inch, 'watertight door-close in an emergency' or 'watertight hatch-close in emergency'",not to exceed 1-inch 'watertight door-close in emergency' or 'watertight hatch-close in emergency',"of at least 1-inch, 'emergency exit, keep clear'","not to exceed 1-inch, 'emergency exit, keep clear'",,,1
"If you have a duplex double acting reciprocating pump making 150 strokes/minute, with a 4"" diameter cylinder, a 6"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",General,B,12 gpm,25 gpm,50 gpm,93 gpm,,,4
Which of the processes listed would be the most satisfactory method to use to lower the humidity of the air being circulated by an air conditioning system?,General,B,Cooling the air to a temperature just above dew point.,"Heating the air to a point at which moisture will boil off, then recooling it.","Cooling the air to a point below dew point, then reheating  it.",Heating the air and then cooling it to a point below dew point.,,,3
"If you have a duplex double acting reciprocating pump making 170 strokes/minute, with a 4"" diameter cylinder, a 6"" stroke and operating with 96% volumetric efficiency, what is the capacity of this pump?",General,B,107 gpm,53 gpm,80 gpm,27 gpm,,,1
"If you have a duplex double acting reciprocating pump making 150 strokes/minute, with a 5"" diameter cylinder, a 4"" stroke and operating with 97% volumetric efficiency, what is the capacity of this pump?",General,B,49 gpm,99 gpm,32 gpm,25 gpm,,,2
"If the discharge valves on a refrigeration compressor are leaking slightly, the compressor will __________.",General,B,run continuously,not start,short cycle on the water low pressure switch,short cycle on the high pressure switch,,,1
"According to the Regulations, all escape hatches and other emergency exits on small passenger vessels of less than 100 gross tons shall be marked on __________.",General,B,"exterior side, in less than 2-inch letters 'watertight openning- keep clear'","exterior side only, in at least 2-inch letters 'emergency exit-keep clear'","both sides, in at least 2-inch letters 'watertight  door-close in emergency'","both sides, in at least 2-inch letters 'emergency exit-keep clear'",,,4
"If you have a duplex double acting reciprocating pump making 200 strokes/minute, with a 5"" diameter cylinder, a 7"" stroke and operating with 77% volumetric efficiency, what is the capacity of this pump?",General,B,46 gpm,92 gpm,183 gpm,180 gpm,,,3
"If you have a simplex single acting reciprocating pump making 120 strokes/minute, with a 5"" diameter cylinder, a 6"" stroke and operating with 81% volumetric efficiency, what is the capacity of this pump?",General,B,25 gpm,59 gpm,50 gpm,99 gpm,,,4
"A cargo hold has been determined to have a relative humidity of 80% and a dry bulb temperature of 85°F.  When the hold is sealed and the dry bulb temperature decreases,  the relative humidity in the space will __________.",General,B,decrease,increase,decrease to zero,remain unchanged,,,2
"If you have a duplex double acting reciprocating pump making 200 strokes/minute, with a 3"" diameter cylinder, a 4"" stroke and operating with 93% volumetric efficiency, what is the capacity of this pump?",General,B,11 gpm,46 gpm,23 gpm,40 gpm,,,2
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 7"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,39 gpm,77 gpm,154 gpm,175 gpm,,,3
"When a P-tank has been properly emptied, the tank pressure  will immediately __________.",General,B,increase to 3-5 psi,decrease to 35-37 psi,decrease to 3-5 psi,increase to 35-37 psi,,,3
"If your vessel burns 8 tons of fuel per hour at 15 knots, how many tons per hour will it burn at 19 knots?",General,B,12.8 tons,16.3 tons,10.6 tons,10.1 tons,,,2
"If you have a simplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,110 gpm,28 gpm,55 gpm,38 gpm,,,1
"If you have a duplex double acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,31 gpm,123 gpm,61 gpm,51 gpm,,,2
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 4"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,22 gpm,44 gpm,88 gpm,20 gpm,,,3
"If your vessel burns 8 tons of fuel per hour at 15 knots, how many tons per hour will it burn at 20 knots?",General,B,11.7 tons,10.7 tons,19.0 tons,14.2 tons,,,3
The compressor used in an air-cooled air conditioning system is short cycling.  A service check determines the suction pressure is above the normal cut-in point with an exceptionally high head pressure and high superheat at the  evaporator.  This is probably the result of a __________.,General,B,loosely fitted compressor drive belt,partially opened liquid service valve,reduction in condenser air flow (dirty condenser),fully closed discharge service valve,,,3
"When repairing a refrigeration system, a swedge would be used to carry out which of the following operations?",General,B,Swedges are used to remove any sweated edges formed on the  tubing while soldering.,Swedges are used during the breaking-in of refrigeration  compressors and drive motors.,A swedge is no longer used with repairing refrigeration systems due to progressive changes in the tool industry.,Swedges can be used to expand an end of one tube to fit onto a tube of the same external diameter.,,,4
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 7"" diameter cylinder, a 9"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,270 gpm,67 gpm,135 gpm,223 gpm,,,1
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 7"" diameter cylinder, a 11"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,82 gpm,330 gpm,165 gpm,407 gpm,,,2
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 7"" diameter cylinder, a 12"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,90 gpm,180 gpm,360 gpm,529 gpm,,,2
One of the primary steps in assisting someone who has been  overcome by ammonia vapors is to __________.,General,B,loosen all clothing,provide the victim with smelling salts,rinse the affected area with water,give the patient plenty of fresh air,,,4
"If you have a duplex single acting reciprocating pump making 120 strokes/minute, with a 5"" diameter cylinder, a 6"" stroke and operating with 81% volumetric efficiency, what is the capacity of this pump?",General,B,25 gpm,99 gpm,59 gpm,50 gpm,,,4
The lubrication of a precision high speed bearing depends upon a system that produces __________.,General,B,adequate quantity at sufficient pressure,high detergent oil with pressure additives,constant viscosity lubrication,a minimum of 15 psi to all parts of the system,,,1
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 10"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,21.3 gpm,42.5 gpm,46.3 gpm,85 gpm,,,2
"If you have a simplex single acting reciprocating pump making 140 strokes/minute, with a 4"" diameter cylinder, a 5"" stroke and operating with 94% volumetric efficiency, what is the capacity of this pump?",General,B,36 gpm,45 gpm,18 gpm,72 gpm,,,3
"In a two stage centrifugal air conditioning system, the liquid refrigerant passes through the condenser directly to the __________.",General,B,evaporator,chiller,economizer,expansion valve,,,3
"If you have a simplex single acting reciprocating pump making 120 strokes/minute, with a 3"" diameter cylinder, a 4"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",General,B,14 gpm,28 gpm,19 gpm,7 gpm,,,4
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 7"" stroke and opperating with 91% volumetric efficiency, what  is the capacity of this pump?",General,B,43 gpm,86 gpm,100 gpm,172 gpm,,,1
"If a refrigeration compressor were short cycling on the low pressure cutout switch, the cause might be that the __________.",General,B,system was overcharged with refrigerant,system was low on oil,suction valves were leaking slightly,system was low on refrigerant,,,4
"When all of the dry bulk material has been delivered from a P-tank, it should be blown out by repressurizing to __________.",General,B,5-10 psi,10-15 psi,25-30 psi,40-50 psi,,,3
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,51 gpm,31 gpm,61 gpm,123 gpm,,,2
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 4"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,33 gpm,49 gpm,25 gpm,98 gpm,,,3
"Considering equal capacities, which refrigeration system can employ the smallest compressor?",General,B,Ammonia,Carbon Dioxide,Dichlorodifluoromethane,Monochlorodifluoromethane,,,1
"If you have a simplex single acting reciprocating pump making 130 strokes/minute, with 5"" diameter cylinder, a 8""  stroke and operating with 93% volumetric efficiency, what is the capacity of this pump?",General,B,82 gpm,132 gpm,164 gpm,41 gpm,,,4
The primary purpose of the thermostatic expansion valve as  used in most refrigeration plants is to __________.,General,B,regulate refrigerant passage through the solenoid valve,ensure that liquid refrigerant returning to the compressor  has the proper superheat,maintain a constant degree of superheat at the evaporator coil outlet,maintain constant evaporator coil pressure independent of suction pressure variations,,,3
"In a refigeration system, once the compound gage manifold lines are attached to the service connections, you should ascertain that the valves on the gage manifold are closed, and then __________.",General,B,open the discharge valve service port by closing the service valve,continue to backseat the discharge service valve by turning it clockwise,open the discharge valve service port by closing the service valve approximately 1/4 to 1/2 of a turn,open only the valve connected to the discharge service fitting on the outlet of the king valve,,,3
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 9"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,55 gpm,75 gpm,151 gpm,303 gpm,,,1
"If R-502, which is a mixture comprised of 48.8% R-22 and 51.2% R-115, is recovered from a refrigeration system, it must be placed in a recovery tank containing  ________.",General,B,either R-22 or R-115,R-22 only,R-115 only,R-502 only,,,4
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 8"" diameter cylinder, a 11"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,240 gpm,120 gpm,329 gpm,479 gpm,,,2
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 12"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,225 gpm,113 gpm,74 gpm,56 gpm,,,3
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 13"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,159 gpm,345 gpm,319 gpm,80 gpm,,,4
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 14"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,86 gpm,172 gpm,343 gpm,400 gpm,,,1
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 7"" diameter cylinder, a 13"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,217 gpm,108 gpm,403 gpm,434 gpm,,,2
Which of the following refrigerants is considered to be the oldest in use?,General,B,Methyl Chloride,Sulphur Dioxide,Ammonia,Carbon Dioxide,,,3
The primary purpose of the thermostatic expansion valve in a typical multi-box shipboard refrigeration system is to __________.,General,B,control the refrigerated space temperature,regulate the compressor suction pressure,regulate the amount of refrigerant superheat leaving the evaporator,control the refrigerant temperature entering the evaporator,,,3
"When purging a gage manifold, which of the fittings listed  is normally tightened last?",General,B,The hose fitting at the discharge valve is tightened last after purging the low pressure line.,The fittings at the discharge and suction valves of the compressor are both closed simultaneously to prevent objective cross flows.,The hose fitting at the suction service valve is tightened  last after purging the center connection.,The low pressure hose fitting at the gage manifold is the only fitting that is connected first and tightened last.,,,3
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 12"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,102 gpm,204 gpm,51 gpm,245 gpm,,,3
"As soon as all of the pulverized material has been  discharged from a P-tank, the tank should be __________.",General,B,vented and depressurized,repressurized and blown out with the discharge hoses disconnected,repressurize and blown out with the discharge hoses connected,"allowed to stand empty, but pressurized until refilled",,,2
"The prohibition against the venting of halogenated floro-carbon refrigerants to the atmosphere requires that, at a minimum, the refrigerant must be __________.",General,B,recovered,reclaimed,recycled,destroyed,,,1
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 8"" diameter cylinder, a 11"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,120 gpm,329 gpm,479 gpm,240 gpm,,,4
"If you have a duplex single acting reciprocating pump making 120 strokes/minute, with a 5"" diameter cylinder, a 12"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",General,B,113 gpm,56 gpm,225 gpm,270 gpm,,,1
One benefit of proper air circulation in a refrigerated cargo space is __________.,General,B,more temperature differential,increased moisture content,reduced slime and mold,increased density of the air,,,3
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 13"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",General,B,80 gpm,161 gpm,319 gpm,345 gpm,,,2
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 14"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,86 gpm,343 gpm,172 gpm,400 gpm,,,3
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 7"" diameter cylinder, a 13"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,108 gpm,434 gpm,403 gpm,217 gpm,,,4
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 12"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,102 gpm,51 gpm,204 gpm,245 gpm,,,1
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 10"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,67 gpm,84 gpm,245 gpm,270 gpm,,,2
"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 10"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,23 gpm,42 gpm,85 gpm,179 gpm,,,3
"If you have a simplex single acting reciprocating pump making 170 strokes/minute, with a 4"" diameter cylinder, a 6"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,107 gpm,80 gpm,53 gpm,25 gpm,,,4
"An example of a small refrigeration appliance identified as TYPE I, is __________.",General,B,A water cooler with four pounds of refrigerant,a cargo container refrigerant system containing 4.9 lbs of  refrigerant.,a 25 ton air conditioning plant provided it does not meet the criteria for a TYPE II appliance.,each of the above answers is correct,,,1
"If you have a simplex single acting reciprocating pump making 170 strokes/minute, with a 5"" diameter cylinder, a 4"" stroke and operating with 85% volumetric efficiency, what is the capacity of this pump?",General,B,25 gpm,39 gpm,49 gpm,98 gpm,,,1
The purpose of nozzles in a liquid mud system is to_________.,General,B,aerate the mud to insure proper oxygen content,clean the mud from the bottom of the tank,circulate the mud to prevent barite from settling,Prevent barite from damaging the pump,,,3
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 7"" stroke and operating with 79% volumetric efficiency, what is the capacity of this pump?",General,B,52 gpm,26 gpm,72 gpm,103 gpm,,,2
"If you have a duplex double acting reciprocating pump making 130 strokes/minute, with a 4"" diameter cylinder, a 12"" stroke and operating with 93% volumetric efficiency, what is the capacity of this pump?",General,B,79 gpm,237 gpm,158 gpm,39 gpm,,,3
The high pressure cutout switch will stop the refrigeration centrifugal compressor when there is __________.,General,B,a stoppage of condenser cooling water flow,fouled condenser tubes,excessive air in the system,all of the above,,,4
"If you have a duplex double acting reciprocating pump making 160 strokes/minute, with a 4"" diameter cylinder, a 12"" stroke and operating with 94% volumetric efficiency, what is the capacity of this pump?",General,B,44 gpm,98 gpm,196 gpm,266 gpm,,,3
What three (3) types of drilling fluids can be transported  by an OSV?,General,B,"water based mud, oil based mud and completion fluids","salt water mud, fresh water mud and correction fluids","offshore mud, inland mud and dry chemicals","barite, oil and zinc bromide",,,1
The operation of a P-tank depends upon __________.,General,B,liquifying the dry bulk material,directing the bulk material to a central discharge point within the pressure vessel,providing a central suction point to the liquid mud pump,All of the above,,,2
Which of the following steps should be taken before taking  on a load of liquid mud for transport to a MODU?,General,B,Flood the tanks with carbon dioxide and test product with an explosimeter (gas detector),Test a sample to insure that the emulsifying amines do not  exceed a STEL of 25 ppm.,Insure that the sea chest valve is closed and not leaking.,All of the above.,,,3
"An economizer, or heat interchanger, is installed in a refrigeration system to __________.",General,B,reduce the possibility of sweating of the suction line,reduce the temperature of liquid refrigerant prior to entering the expansion valve,reduce the possibility of liquid refrigerant flooding back  to the compressor,all of the above,,,4
"If you have a simplex single acting reciprocating pump making 180 strokes/minute, with a 4"" diameter cylinder, a 12"" stroke and operating with 89% volumetric efficiency, what is the capacity of this pump?",General,B,209 gpm,52 gpm,105 gpm,314 gpm,,,2
Federal regulations permit refrigerant to be released to the atmosphere under which conditions?,General,B,When testing a system for leaks using R-12 and nitrogen.,When release is considered 'De Minimis'.,When adding oil to a compressor.,During replacement of a compressor.,,,2
"If you have a simplex single acting reciprocating pump making 140 strokes/minute, with a 5"" diameter cylinder, a 6"" stroke and operating with 83% volumetric efficiency, what is the capacity of this pump?",General,B,59 gpm,71 gpm,30 gpm,119 gpm,,,3
