Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
A synchronous motor maintains synchronism with the rotating field because,Electrical,A,Field strength varies directly with rotors lIp,DC current applied to the rotor coils causes the rotor magnets to lock in with the rotating flux of the stator,the stator poles are dragged around due to the flux created by the excitation current,the stator flux rotates in the opposite direction,,,2
The part of a fuse that melts and opens the circuit is made of,Electrical,A,Copper and antimony,Steel and Babbitt,Aluminum or beryllium alloy,Zinc or an alloy of tin and lead,,,4
Which of the following capacitor is having highest dielectric constant?,Electrical,A,Air gap,Glass,Paper,Polyester,,,2
A delayed action fuse is most frequently used in which of the listed circuit?A.,Electrical,A,Lighting circuit,Motor circuit,Electrical heater,Padar circuit,,,2
"If an intrinsic semiconductor is doped with a very small amount of boron then the extrinsic semiconductor set formed, the no.  of electrons and holes will",Electrical,A,Both decreases,Increase and decrease,Both increases,Decrease and increase,,,4
Which of the following physical character does wound rotor induction motor posses that squirrel cage motor does not,Electrical,A,Slip rings,End rings,A centrifugal clutch,End plates,,,1
Which of the following conditions will occur when solenoid coil burns out of a cargo winch with a electrical brake.,Electrical,A,The brake will be set by spring force.,The motor will over speed and burns out,The load suspended by the cargo boom will fail,Nothing will happen; the winch will continue to operate normally,,,1
A low voltage protection circuit is used in electric motor starting equipment to,Electrical,A,Trip circuit contractor when the motor over speed due to low voltage,Trip circuit contractor when the motor develops short circuit due to low voltage,Allows the motor to restart automatically on restoration of voltage without manual resetting,Prevent motor from restarting automatically,,,4
Determine the order of doping in transistor (from high to low),Electrical,A,"collector, base, emitter","Emitter, collector, base","Base, emitter, collector","collector, emitter, base",,,2
The opposition to the magnetic lines of force in magnetic is called,Electrical,A,Resistance,Reluctance,Impedance,Inductance,,,2
Which of the listed devices is used to measure pressure and convert it to an electrical signal?,Electrical,A,Transducer,Reducer,Transformer,Rectifier,,,1
Which of the capacity has dielectric constant of 1.0000?,Electrical,A,air gap,vacuum,water,electrolytes,,,2
Tightly knit metal braid wire can be used with a printed circuit board when,Electrical,A,Conductor flexibility is required,De-soldering components in the circuit,Electrically produced magnetic fluxes would cause inaccuracies in adjacent components,Reactance in the circuit must be kept to a minimum,,,2
Which of the following statements represents an application of a silicon controlled rectifier?,Electrical,A,To provide DC power for a main propulsion motor.,For use as a voltage reference diode.,For sensing flame in an automated burner.,To eliminate power supply hum.,,,1
"For leading power factor circuits, which of the following can be used?",Electrical,A,Shunt Capacitors only,Shunt Reactors only,Either Shunt Capacitors or Shunt Reactors,Neither Shunt Capacitors nor Shunt Reactors,,,2
A fuse that blows often should be replaced only with a fuse of,Electrical,A,the recommended current and voltage rating,higher current and voltage rating,higher current and lower voltage rating,lower current and higher voltage rating,,,1
Brushless generators are designed to operate without the use of,Electrical,A,brushes,slip rings,commutators,all of the above,,,4
Fuses placed in series with a thermal trip type circuit breaker are used for,Electrical,A,Time-delay protection,Short-circuit protection,Short duration surge protection,Sustained overload protection,,,2
In what range of voltages is the transistor in the linear region of its operation?,Electrical,A,0 < VCE < 0.7 V,0.7 < VCE < 1.4 V,0.7 < VCE < VCE (max),0 < VCE < VCE (max),,,3
"The greatest detrimental effect on idle electrical equipment, such as cargo pump motors, is the",Electrical,A,Loss of residual magnetism.,Absorption of moisture in the insulation.,Insulation varnish flaking.,Dirt collecting on the windings.,,,2
Ammeters and voltmeters used in sinusoidal AC power systems indicate which of the following values of the wave forms measured?,Electrical,A,Peak value,Root-mean-square value,Average value,Maximum value,,,2
Which of the following statements concerning analog and digital devices are correct?,Electrical,A,The variables in digital systems are fixed quantities and the variables in analog systems are continuous quantities.,There are no basic differences between the two systems.,Analog devices are superior in accuracy compared to digital devices.,Operations in a digital device are performed simultaneously.,,,1
"While starting a main propulsion synchronous motor, the ammeter pegs out at maximum and then returns to the proper value after synchronization. This indicates that the",Electrical,A,Motor has started properly.,Field windings are grounded.,Slip rings are dirty.,Power transmission cables are grounded.,,,1
A magnetic blowout coil in a DC motor controller contact or functions to,Electrical,A,Open contact rapidly.,Reduce contact wear.,Adjust opening spring tension.,"Provide ""snap-action"" in the contactor.",,,2
"In a PNP transistor, the p-regions are",Electrical,A,Emitter and Base,Base and Collector,Emitter and Collector,"Emitter, Base and Collector",,,3
"AC circuits possess characteristics of resistance, inductance, and capacitance.The capacitive reactance of a circuit is expressed in",Electrical,A,ohms,mhos,henrys,farads,,,1
The shunt used in an ammeter should be connected in____________.,Electrical,A,series with the load and in parallel with the meter movement,parallel with the load and in series with the meter movement,parallel with the load and in parallel with the meter movement,series with the load and in series with the meter movement,,,1
Brushless generators are designed to operate without the use of ___________.,Electrical,A,brushes,slip rings,commutators,all of the above,,,4
Which of the following physical characteristics does a wound-rotor induction motor possess that a squirrel cage motor does not?,Electrical,A,Slip rings,End rings,A centrifugal switch,End plates,,,1
The current at which a magnetic-type overload relay tends to trip may be decreased by raising the plunger further in to the magnetic circuit of the relay. This action_________.,Electrical,A,reduces magneticpull on the plunger and requires more current to trip the relay,reduces magnetic pull on the plunger and requires less current to trip the relay,increases magnetic pull on the plunger and requires more current to trip the relay,increases magnetic pull on the plunger and requires less current to trip the relay,,,4
Protection against sustained overloads occurring in molded-case circuit breakers is provided by a/an _________.,Electrical,A,over voltage release,thermal acting trip,thermal overload relay,current overload relay,,,2
Which of the listed logic gates is considered to be a BASIC building block (basic logic gate) used in logic diagrams?,Electrical,A,NAND,OR,NOR,All of the above.,,,2
"When choosing a battery for a particular application, major consideration should be given to the battery's",Electrical,A,amp-hour capacity,terminal polarity,stability under charge,ambient temperature rise,,,1
The rated temperature rise of an electric motor is the _____________.,Electrical,A,average temperature at any given latitude,normal temperature rise above the standard  ambient temperature at rated load,average temperature rise due to resistance at 10% overload,permissible difference in the ambient temperature of the motor due to existing weather conditions,,,2
The electrical energy necessary to transmit a person's voice over a sound-powered telephone circuit is obtained from ____________.,Electrical,A,dry cell batteries,the ship's service switchboard,the emergency switchboard,the speaker's voice,,,4
Local action in a nickel-cadmium battery is offset by _____________.,Electrical,A,separating the positive and negative plates with plastic spacers,separating the positive and negative plates with resin impregnated spacers,adding a small amount of lithium hydroxide to the electrolyte,trickle charging,,,4
The freezing point of the electrolyte in a fully charged lead-acid battery will be _____________.,Electrical,A,higher than in a discharged battery,lower than in a discharged battery,the same as in a discharged battery,"higher than in a discharged battery, but the specific gravity will be less",,,2
What is the maximum allowable primary current of a 2 KVA step-down transformer with a four to one turns ratio if connected across a 440 volt line?,Electrical,A,1.1 amps,4.5 amps,18.1 amps,27.7 amps,,,2
Which of the following represents the accepted method of cleaning dust and foreign particles from electrical equipment while limiting damage to electric components?,Electrical,A,Carefully wiping off the components with a soft cotton rag.,Blowing a high velocity stream of compressed air rapidly across the component,Using a vacuum cleaner to remove debris from the components.,Using carbon tetrachloride as a cleaning solvent to clean the components.,,,3
"Regarding an AC generator connected to them am electrical bus; as the electric load and power factor vary, a corresponding change is reflected in the generator armature reaction.  These changes in armature reaction are compensated for by the _____________.",Electrical,A,governor speed droop setting,voltage regulator,balance coil,phase-balance relay,,,2
"In an induction motor, rotor currents are circulated in the rotor by _______",Electrical,A,slip rings and brushes,an armature and brushes,inductive reaction of the rotating stator field,external variable resistors,,,3
An electrical device which prevents an action from occurring until all other required conditions are met is called a /an  ___________.,Electrical,A,limit,monitor,modulator,interlock,,,4
A circuit breaker and a fuse have a basic similarity in that  they both _______,Electrical,A,can be reset to energize the circuit,should open the circuit when overloaded,will burn out when an over current flow develops,all of the above,,,2
The electrolyte in a lead-acid storage battery consists of distilled water and _____________.,Electrical,A,hydrogen chloride,calcium chloride,sulfuric acid,muriatic acid,,,4
The full torque electric brake on an electric cargo winch functions to _____________.,Electrical,A,act as a backup brake in the event the mechanical brake should fail,automatically hold the load as soon as current to the machine is shut off,automatically govern the lowering speed of the load,automatically govern the hoisting speed of the load,,,2
"When troubleshooting most electronic circuits, ""loading effect"" can be minimized by using a voltmeter  with a/an ___________________.",Electrical,A,input impedance much greater than the impedance across which the voltage is being measured,input impedance much less than the impedance across which the voltage is being measured,sensitivity of less than 1000 ohms/volt,sensitivity of more than 1000 volts/ohm,,,1
An electric tachometer receives the engine speed signal from a _______________.,Electrical,A,small generator mounted on the engine,bimetallic sensing device,stroboscopic sensing device,vibrating reed meter generating a voltage proportionate to engine speed,,,1
"A three-phase alternator is operating at 450 volts with the switchboard ammeter indicating 300 amps. The kw meter currently indicates 163.6 KW, with a power factor of 0.7. If the power factor increases to 0.8, the KW meter reading would increase by ____________.",Electrical,A,17.8 KW,23.4 KW,30.6 KW,37.8 KW,,,2
A semiconductor that decreases in resistance with an increase in temperature is known as a ___________.,Electrical,A,resistor,thermistor,diode,thermopile,,,1
The shunt used in an ammeter should be connected in____________.,Electrical,A,series with the load and in parallel with the meter movement,parallel with the load and in series with the meter movement,parallel with the load and in parallel with the meter movement,series with the load and in series with the meter movement,,,3
An operating characteristic appearing on the name plates of shipboard AC motors is _____________.,Electrical,A,the type of winding,input kilowatts,temperature rise,locked rotor torque,,,3
"Low horsepower, polyphase, induction motors can be started with full voltage by means of ___________.",Electrical,A,compensator starters,autotransformer starters,across-the-line starters,primary-resistor starters,,,4
"Moisture damage, as a result of condensation occurring inside of the cargo winch master switches, can be reduced by __________________.",Electrical,A,installing a light bulb in the pedestal stand,coating the switch box internals with epoxy sealer,venting the switch box regularly,using strip heaters inside the switch box,,,3
"Where a thermal-acting breaker is required to be used in an area of unusually high, low, or constantly fluctuating temperatures, an ambient compensating element must be used. This element consists of a ______________.",Electrical,A,cylindrical spring on the contact arm,conical spring on the contact arm,second bimetal element,second electromagnet,,,1
Which of the following statements represents an application of a silicon controlled rectifier?,Electrical,A,To provide DC power for a main propulsion motor.,For use as a voltage reference diode.,For sensing flame in an automated burner.,To eliminate power supply hum.,,,2
The electrolyte used in a nickel-cadmium battery is distilled water and ______________.,Electrical,A,diluted sulfuric acid,potassium hydroxide,lead sulfate,zinc oxide,,,4
"Which of the damages listed can occur to the components of a winch master control switch, if the cover gasket becomes deteriorated?",Electrical,A,Overheating of the winch motor.,Contamination of lube oil.,Sparking at the winch motor brushes.,Rapid corrosion of switch components.,,,2
"An accidental path of low resistance, allowing passage of abnormal amount of current is known as a/an ____________.",Electrical,A,open circuit,short circuit,polarized ground,ground reference point,,,3
"A resistance in a circuit of unknown value is to be tested using the voltmeter/ammeter method. Therefore, the meters should be connected with _____________.",Electrical,A,both meters in series with the resistance,both meters in parallel with the resistance,the ammeter in series and the voltmeter in parallel with the resistance,the ammeter in parallel and the voltmeter in series with the resistance,,,4
SOLAS regulations state that a normal source for emergency loads and power on a cargo vessel must be supplied from ____________.,Electrical,A,emergency generator supply to the emergency switchboard,emergency generator supply to the main switchboard,battery supply to the main switchboard,ship's service generator via the emergency switchboard,,,1
A storage battery for an emergency lighting and power system must have the capacity to _____________.,Electrical,A,close all watertight doors twice,open all watertight doors four times,open and close all watertight doors in six consecutive cycles within a 20 second period,none of the above,,,2
SOLAS regulations require emergency diesel engine starting systems to have sufficient capacity to provide power for at least ____________.,Electrical,A,three continuous starting sequences,six consecutive cranking cycles,nine repeated starts under load,twelve cranking periods of 5 seconds,,,4
Which of the following statements is a Safety regulation concerning emergency generator diesel engines? (SOLAS / Cargo Ship Safety Construction Rules),Electrical,A,The fuel must have a flash point not less than 750F.,Emergency diesel engines must be capable of operating under full load in not less than 30 seconds after cranking.,The starting battery must produce 12 consecutive cranking cycles.,Emergency diesel engines must operate satisfactorily up to a 22.50 list.,,,1
"If an AC motor is started and produces 25 horsepower, the kW meter reading will increase by ___________.",Electrical,A,18.65 kW,25.65 kW,30.65 kW,37.65 kW,,,1
"While on watch in the engine room at sea with only one ship's service shaft generator on line, the entire plant suddenly blacks out without warning. After restoring power, the cause for this casualty could be attributed to which of the following faults?",Electrical,A,"The micro switch at the generator speed trip vibrated open, allowing the main breaker to open via the under voltage trip.","Someone pushed the trip button to the ""shore power"" breaker.",The main air compressor suddenly stopped.,The standby generator started automatically and became motorized.,,,3
The function of a rectifier is similar to that of a _______.,Electrical,A,trap,regulating valve,check valve,Filter,,,2
The basic control action of a magnetic amplifier depends upon _____________.,Electrical,A,variations in the load capacitance,changes in inductance,type of core material,construction of the core,,,4
"The seven segment arrangement for numerical display on consoles, test meters and other applications can be either ________________.",Electrical,A,UJT or BJT,BCD or OCD,JFET or IGFET,LED or LCD,,,2
A silicon controlled rectifier (SCR) is a solid state device used to change ________________.,Electrical,A,DC to AC and control relatively low load current,AC to DC and control relatively high load current,DC to AC and control relatively high load current,AC to DC and control relatively low load current,,,1
Which of the following conditions will occur if the solenoid coil burns out on a cargo winch with an electrical brake?,Electrical,A,The brake will be set by spring force.,The motor will over speed and burn up.,The load suspended from the cargo boom will fall.,Nothing will happen; the winch will continue to operate as usual.,,,3
"Which of the listed battery charging circuits is used to maintain a wet cell, lead-acid, storage battery in a fully charged state during long periods of disuse?",Electrical,A,Normal charging circuit,Quick charging circuit,Trickle charging circuit,High ampere charging circuit,,,2
The full torque electric brake on an electric cargo winch functions to,Electrical,A,act as backup brake in the event the mechanical brake should fail,automatically hold the load as soon as current to the machine is shut off,automatically govern the lowering speed of the load,automatically govern the hoisting speed of the load,,,1
An electric tachometer receives the engine speed signal from a,Electrical,A,small generator mounted on the engine,bimetallic sensing device,stroboscopic sensing device,vibrating reed meter generating a voltage proportionate to engine speed,,,2
A semiconductor that decreases resistance with an increase in temperature  is known as a,Electrical,A,resistor,thermistor,diode,thermopile,,,1
The shunt used in an ammeter should be connected in,Electrical,A,series with the load and in parallel with the meter movement,parallel with the load and in series with the meter movement,parallel with the load and in parallel with the meter movement,series with the load and in series with the meter movement,,,4
Brushless generators are designed to operate without the use of,Electrical,A,brushes,slip rings,commutators,all of the above,,,3
"In the event of a power failure during cargo loading operations, the movement of an electric powered cargo winch will be stopped by",Electrical,A,a manual override switch,the weight of the load on the boom,a spring set brake,a hand operated band brake,,,3
A ground can be defined as an electrical connection between the wiring of a motor and its,Electrical,A,shunt field,circuit breaker,metal framework,interpole,,,2
"The output voltage of a 440 volt, 60 hertz, AC generator is controlled by the",Electrical,A,prime mover speed,exciter output voltage,load on the alternator,number of poles,,,3
Which of the following statements represents the main difference between a relay and a contactor?,Electrical,A,"Contactors control current, relays control voltage.",a relay is series connected and contactor is parallel connected.,Contactors can handle heavier loads than relays.,Contactors are made from silver and relays are made from copper.,,,2
The electrolyte used in a nickel-cadmium battery is distilled water and,Electrical,A,diluted sulfuric acid,potassium hydroxide,lead sulfate,zinc oxide,,,4
"Which of the damages listed can occur to the components of a winch master control switch, if the cover gasket becomes deteriorated?",Electrical,A,Overheating of the winch motor.,Contamination of lube oil.,Sparking at the winch motor brushes.,Rapid corrosion of switch components.,,,2
"An accidental path of low resistance, allowing passage of abnormal amount of current is known as a/an",Electrical,A,open circuit,short circuit,polarized ground,ground reference point,,,3
"A resistance in a circuit of unknown value is to be tested using the voltmeter/ammeter method. Therefore, the meters should be connected with",Electrical,A,both meters in series with the resistance,both meters in parallel with the resistance,the ammeter in series and the voltmeter in parallel with the resistance,the ammeter in parallel and the voltmeter in series with the resistance,,,2
A direct current passing through a wire coiled around a soft iron core is the description of a simple,Electrical,A,magnetic shield,electromagnet,piezoelectric device,electromagnetic domain,,,1
"The use of four diodes, in a full-wave bridge rectifier circuit, will",Electrical,A,provide unidirectional current to the load,allow a very high leakage current from the load,convert direct current to alternating current,offer high opposition to current in two directions,,,2
16.A magnetic blowout coil in a DC motor controller contractor functions to,Electrical,A,open contact rapidly,reduce contact wear,adjust opening spring tension,"-provide ""snap-action"" in the contractor",,,4
The method used to produce electron emission in most vacuum tubes is known as,Electrical,A,photoelectric emission,secondary electric emission,cold cathodic electric emission,thermionic emission,,,1
Which of the listed devices is used to measure pressure and convert it to an electrical signal?,Electrical,A,Transducer,Reducer,Transformer,Rectifier,,,4
Grounds occurring in electrical machinery as a result of insulation failure are usually caused by,Electrical,A,deterioration due to age,excessive heat,vibration,all of the above,,,4
The amount of voltage induced in the windings of an AC generator depends on,Electrical,A,the number of conductors in series per winding,the speed at which the magnetic field passes across the winding,the strength of the magnetic field,all of the above,,,2
The device that most commonly utilizes the principle of electromagnetic induction is the,Electrical,A,diode,Transformer,transistor,rheostat,,,4
A tubular fuse should always be removed from a fuse panel with,Electrical,A,a screwdriver,a pair of insulated metal pliers,any insulated object,fuse pullers,,,2
One factor that determines the frequency of an alternator is the,Electrical,A,number of turns of wire in the armature coil,number of magnetic poles,strength of the magnets used,output voltage,,,3
Which of the motors for the devices listed below is fitted with an instantaneous overload relay?,Electrical,A,Fan,Pump,winch,Machine tool,,,1
Which of the following statements concerning an analog device and a digital device is correct?,Electrical,A,"the variables in digital systems are fixed quantities, and the variables in analog systems are continuous quantities.",There are no basic differences between the two systems.,analog devices are superior in accuracy compared to digital devices.,Operations in a digital device are performed simultaneously.,,,3
The number of cells in a 12 volt lead-acid battery is,Electrical,A,three cells,four cells,six cells,twelve cells,,,1
"When choosing a battery for a particular application, major consideration should be given to the battery's",Electrical,A,amp-hour capacity,terminal polarity,stability under charge,ambient temperature rise,,,3
Electrical leads and insulation on a motor should be painted with,Electrical,A,heat-resisting acrylic,heat-resisting aluminum,insulating varnish,insulating white lead,,,4
Voltage generator by most AC generators is fed from the machine to the bus by means of,Electrical,A,brushes on a commutator,brushes on slip rings,slip rings on a commutator,direct connections from the stator,,,4
A circuit breaker differs from a fuse in that a circuit breaker,Electrical,A,melts and must be replaced,is enclosed in a tube of insulating material with metal ferrules at each end,gives no visual indication of having opened the circuit,trips to break the circuit and may be reset,,,4
Incandescent lamps are classified according to,Electrical,A,shape of bulb and type of service,size and style of base,operating voltage and wattage,all of the above,,,2
"As a general rule, the first troubleshooting action to be taken in checking faulty electric control devices is to",Electrical,A,draw a one line diagram of the circuitry,test all fuses and measure the line voltage,take megger readings,insulate the apparatus from ground,,,2
An electrical device which employs a stationary armature and a rotating electromagnetic field is used aboard ship as a,Electrical,A,magnetic amplifier,-ship's service alternator,three-wire DC generator,saturable core reactor,,,3
The state of charge of a lead acid storage battery is best indicated by the,Electrical,A,testing of the individual cell voltages,ampere hour capacity of the battery,specific gravity of the electrolyte,total cell voltages,,,2
The first requirement for logical troubleshooting of any system is the ability to,Electrical,A,collect all available data on a casualty,recognise normal operation,identify the probable cause of a symptom,isolate the faulty component,,,4
The load sharing characteristics of two diesel generators operating in parallel are mostly dependent on their governor,Electrical,A,load limit settings,idle speed settings,speed limit settings,speed droop settings,,,3
The open circuit voltage of a fully charged lead-acid battary cell is,Electrical,A,-1.5 v,-1.8 v,-2.0 v,-2.3 v,,,1
"In an AC generator, direct current from a separate source is passed through the windings of the rotor",Electrical,A,by means of slip rings and brushes,by means of a commutator,by means of rotating bar magnet,to minimize the danger of arc over,,,2
A delayed-action fuse is most frequently used in which of the listed  circuits?,Electrical,A,lighting circuit,motor circuit,electric heater circuit,radar circuit,,,3
Which of the listed procedures should be carried out to prevent moisture damage to electrical apparatus during extended periods of idleness?,Electrical,A,fill the motor housing with CO3 to inert the space,strap silica gel around the commutator,place heat lamps in the motor housing,cover the equipment with a canvas tarpaulin,,,1
A fuse of  recommended current and voltage ratings that blows often should be replaced only with a fuse of,Electrical,A,the same ratings,higher ratings,higher current and lower voltage rating,lower current and higher voltage rating,,,4
Which of the listed conditions is an advatage of a PN diode over a vacuum diode?,Electrical,A,longer life,no warm up time,less delicate,all of the above,,,2
The freezing point of the electrolyte in a fully charged lead-acid battery will be,Electrical,A,higher than in a discharged battery,lower than in a discharged battery,the same as in a discharged battery,"higher than in a discharged battery, but the specific gravity will be less",,,1
"To repair a small electrical motor that has been submerged in saltwater, you should",Electrical,A,wash it with fresh water and apply an external source of heat,renew the windings,send it ashore to an approved service facility,rinse all electrical parts with a carbon tetrachloride cleaning solvent and  then blow dry the motor with compressed air,,,4
The basic measuring unit of inductance is the,Electrical,A,coulomb,ohm,farad,henry,,,4
Which of the listed precautions should be taken when cleaning the internals of a motor with compressed air?,Electrical,A,open the Machine on both ends so as to allow the air and dust to escape,be certain that the circuit breaker is opened and tagged on the feeder panel,be cetain that the air is clean and as dry as possible,all of the above,,,2
The pupose of DC generator brushes is to,Electrical,A,neutralize armature reaction,conduct electric current to an outside circuit,convert DC current to AC current,provide excitation to a DC generator,,,4
Fuses are rated in,Electrical,A,voltage,amperage,interrupting capacity,all of the above,,,4
Power transformers are rated in,Electrical,A,kilowatts,ampere-turns,kilowatt-volts,kilovolt-amperes,,,3
"Alternative current circuits develop resistance, inductance and capacitance. The inductance of a coil is expressed in",Electrical,A,ohms,mhos,henrys,farads,,,4
A lead-acid battery is considered fully charged when the,Electrical,A,electrolyte gasses freely,battery charger ammeter indicates a positive reading,terminal voltage reaches a constant value at a given temperature,-specific gravity of all cells reaches the correct value and no longer  increases over a period of 1 to 4 hrs,,,1
The insulation resistance of electric equipment and machinery should be tested for the lowest  normal insulation values,Electrical,A,immediately after shutting down the Machine,every time the brush rigging is adjusted,immediately after starting up the Machine,-every 30 days whether the machine is in use or not,,,2
"High vacuum diodes, gas-filled diodes, and germanium semiconductor diodes may all be used as",Electrical,A,potentiometers,rectifiers,power sourses,photocells,,,4
The apparent power in a purely inductive circuit is also known as,Electrical,A,-true power,lead power,induced power,reactive power,,,4
Which of the following devices will prevent a DC generator from  becoming motorized?,Electrical,A,overcurrent relay,motorization trip,reverse power relay,reverse current relay,,,2
A grounded switch or cable will be indicated by a meg ohmmeter reading of,Electrical,A,infinity,zero,being unsteady in the high range,being unsteady in the low range,,,3
"Regarding  battery charging rooms, ventilation should be provided",Electrical,A,at the lowest point of the room,horizontally near the batteries,at the highest point of the room,only when charging is in progress,,,4
The main difference between an electron tube and a transistor is the,Electrical,A,type of function they can perform,reaction of electron flow through a gas or vacuum in a transistor,reaction of electron flow through a semiconductor when placed in a tube,reaction of electron flow through a semiconductor used to form a transistor,,,3
"A generator has been exposed to water and is being checked for its safe operation. Therefore, it is necessary to",Electrical,A,check for shorted coils with a growler,take moisture readings with a hydrometer,test insulation values with a megger,"-ground the commutator, or slip rings and run it at half load for 12 hours",,,1
"Before testing insulation with a meg ohmmeter, the windings of large machines should be grounded for about 15 minutes just prior to test, because the",Electrical,A,-static charge of the machine may give a false reading,armature will have a greater number of leakage paths,insulation may be damaged,insulation may be covered with moisture,,,4
"In a DC series circuit, all the conductors have the same",Electrical,A,power expended in them,voltage drop across them,resistance to current flow,current passing through them,,,2
A three-phase induction-type motor experiences an open in one phase. Which of the listed automatic protective devices will prevent the machine  from being damaged?,Electrical,A,overspeed trip,thermal overload relay,three-pole safety switch,magnetic blowout coil,,,2
Most three-phase induction motors used for driving engine room  auxiliaries are started by,Electrical,A,resistor starters,across-the-line starters,impedance starters,reactor starters,,,3
"When electrical cables penetrate watertight bulkheads,",Electrical,A,they should be grounded on either side of the bulkhead,they must be bent to a radius of six diameters,a watertight stuffing tube capable of accepting packing should be employed,they should be secured by a clamp,,,3
Across-the-line starters are used with AC motors to provide,Electrical,A,reduced starting current,regulated starting current,high starting torque,controled starting acceleration,,,1
"Most conductive materials such as copper, aluminium, iron, nickel",Electrical,A,increase in resistance with increased temperature,increase in resistance with decreased temperature,decrease in resistance with increased temperature,decrease in resistance with decreased temperature,,,4
"The electrician reports to you that he has obtained low (but above 1 megohm) megger readings on the windings of a deck winch motor. Upon checking the records of that motor, you find the readings have consistently been at the same level the last six years. You should, therefore, recommend that the",Electrical,A,motor be replaced,windings be dried,windings be cleaned,readings are acceptable,,,4
Line losses in a distribution circuit are kept to a minimum by,Electrical,A,adding rubber insulation conductors to the circuit,using higher current and lower voltage,increasing the number of thermal relays in the circuit,using higher voltage and lower current,,,1
"Adding resistance in series with the field winding of a DC shunt motor without a load, will cause the motor speed to",Electrical,A,increase,decrease,remain the same,fluctuate rapidly,,,4
The function of the compensating windings used in a DC generator is to,Electrical,A,prevent cross-commutation,increase armature coil strength,increase field strength,neutralize armature reaction,,,1
Capacitors are used on the output of the power supply in today's consoles to,Electrical,A,"-filter out ""ripple""",prevent overloads,act as a permanent load,decrease the average value of the output voltage,,,1
The purpose of a motor under voltage protection device is to,Electrical,A,prevent high armature current when power is restored,start the motor at a very low voltage,trip the load off the motor in case of fire,protect personnel from low voltage shocks,,,4
"In testing a three-phase delta winding for an open circuit using a meg ohmmeter, you must",Electrical,A,test each phase with all connections intact,measure the voltage across the open connections while testing,test the windings as parallel groups to avoid short circuiting,open the delta-connections to avoid shunting the phase being tested,,,2
The direction of rotation of an induction motor is,Electrical,A,opposite to the rotating field,the same as the direction of the rotating field,determined by the number of poles,determined by the staggering of the brushes,,,1
The purpose of a main switchboard circuit breaker's revers-power trip is to,Electrical,A,prevent main circuit overload,protect the circuit breaker blowout coil,prevent alternator motorization,prevent low voltage tripout,,,3
"When charging lead-acid batteries, the charging rate should be  reduced as the battery  nears its full charge to",Electrical,A,prevent damaging battery plates,allow equalization of cell voltages,reduce lead sulfate deposites,increase lead peroxide formation,,,1
"Regarding an induction motor, the power developed by the rotor automatically adjusts itself to",Electrical,A,power required to drive the load,speed required to drive the load,current flow in the motor stator,torque developed by the rotating field,,,1
