Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
Which of the following is a correct point for sampling of system lube oil for on board or shore analysis?,General,A,Standpipes,Purifier outlets,Inlet or outlet of L. O. coolers,Tank drains,,,3
Which type of valve is not rotating type....,General,A,gate v/v,butterfly v/v,ball v/v,plug v/v,,,1
Emergency steering testing,General,A,WeeklyMonthly,At least 3 months,Before arrival,departure,,,2
Which of the following valves cannot prevent backflow of liquid in a pipeline?,General,A,Gate valve,Globe Check Valve,Swing Check Valve,Angle check valve,,,1
Pump driven clutch type attached vacuum pumps are commonly used for priming ballast pumps and emergency fire pump. What is the factor which de-clutches the vacuum pump from the pump clutch?,General,A,Low suction pressure acting against the spring loaded declutching piston,High suction pressure acting against the spring loaded declutching piston,Low discharge pressure acting against the spring loaded declutching piston,High discharge pressure acting against the spring loaded declutching piston,,,4
The main disadvantages of a reciprocating pump over a Gear pump is that:,General,A,A gear pump is self priming while a reciprocating pump is not,Discharge of a gear pump is not affected by the direction of rotation while that of reciprocating pump is reversed,The discharge of reciprocating pump is pulsating and discharge rate is lesser,Reciprocating pumps are only available in high capacities and for smaller capacities only gear pumps can be used,,,3
After cleaning the sea chest filter you have placed the filter in the body and tightened the cover. Which one of the following is the best alternative?,General,A,You can open the filter inlet and outlet valves & directly start using the filter,"If you do not want to use the sea chest in question, you need not worry and you can open the valves when required","Sea Water inlet valve should be crack opened, the filter body should be purged, any leakages and thereafter filter can be kept isolated or used as required",You will close the other side sea chest valves first and then open this side sea chest filter inlet and outlet valves,,,3
"In which of the following types of refractory failure, softening of the refractory bricks takes place due to presence of sodium/vanadium in fuel?",General,A,Spalling,Cracking,Shrinkage cracking,Slagging,,,4
"centrifugal pump will typically give you a low flow rate at a lower pressure, where a piston pump will give you more pressure and higher flow rate. Is the statement correct?",General,A,TRUE,FALSE,First Sentence is right. Second one is wrong,I don’t know,,,2
You are pumping out sludge to a shore facility using your sludge pump. You find that the discharge rate of pump is very slow and suction filter is getting clogged frequently. What is the best alternative to counteract the problem?,General,A,Remove the pump suction filter and pump out the tank,"Increase the tank temperature, keep an eye on the pump suction pressure and clean the filter as soon as it drops","As soon as the as the shore facility tells you that they are not receiving any sludge, you stop the pump and clean the filter",Fabricate a bigger mesh size suction filter and use in place of normal filter so that frequency of filter blockage is reduced and you can get a better discharge rate,,,2
A ball valve is found leaking in service and needs to be overhauled. What type of repairs can be carried out?,General,A,The ball and seat can be lapped together,The ball can be machined while the seat can be replaced,Normally both the non-metallic seats get worn out and have to be replaced,Normally ball gets damaged and has to be replaced,,,3
The difference between the discharges of a centrifugal pump n reciprocating pump the discharge of centrifugal pump is ----------while that if reciprocating is ---------,General,A,"Turbulent, Laminar","Intermittent, continuous","Continuous, pulsating","Pulsating, continuous",,,3
"Purifier is not rotating with desired rpm, reason?",General,A,Frequency low,Bus bar voltage low,Friction pads worn out,Current low,,,3
The function of an accumulator on the discharge side of a reciprocating bilge pump is to:,General,A,Supply liquid even when the pump is not running,Dampen out the pressure pulses and smoothen the flow,Increase the discharge pressure by storing liquid under pressure,No such device is required to be fitted to modern bilge pumps,,,2
The most important control measure to prevent boiler tube failure is:,General,A,Use of proper refractory material,Proper maintenance of fuel burning equipment,Proper maintenance of boiler water condition,All of the above,,,3
"F.O. transfer pump was working efficiently, but it stopped taking suction suddenly. There is a sounding of 6.0 m in the F.O. deep tank. The suction pressure gauge was renewed recently and is showing a positive pressure when pump is running, but Pump is not transferring any F.O. What is the most probable cause?",General,A,Pump is damaged and needs overhaul,Suction filter cover gasket might leaking,Pump relief valve might be leaking,The pump suction pipeline is blocked,,,3
A ball valve was found leaking in service. Upon inspection it was found that the PTFE seat had worn out and was renewed. The valve stopped leaking in closed condition. How do think a ball valve provides perfect sealing?,General,A,"The seat fitted is slightly smaller than the outer dimensions of the ball, thus providing interference fit when closed",Either a floating seat is pressed onto trunnion supported ball by liquid pressure or floating ball is pressed onto the seat,Ball is not exactly spherical and is shaped such that during closure the surface coming into contact with seat is of slightly bigger diameter providing sealing,"Seat is not exactly spherical, but slightly tapered so that during closure the ball sits tightly on the seat",,,2
Copper tubing is used in refrigerant system because,General,A,It has less internal resistance,It is cheaper compared to other materials.,It is easier to check leaks in copper based system,None of the above,,,4
U R responsible for daily transfers of engine room bilges. U follow the sequences aft –fwd (P)-fwd(s) bilge well n u have never experienced a problem but 5/E started the transfer n first transferred forward (s) bilge well n without any problem n u join him later u find that bilge pump is not taking suction fr f(p) n aft bilge well n then u have checked everything is normal. What is the cause?,General,A,"5th engineer made a mistake by 1st transferring the fwd (s) bilge well, normal sequence of operation for engine room machineries should not b disturbed.",Fwd (s) Bilge well suction valve is leaking,Bilge pump suction filter cover gasket is leaking.,Fwd (s) Bilge well suction filter cover gasket is leaking.,,,2
Function of a de-superheater is to.,General,A,Protect superheater from overheat,Control superheater steam outlet temperature,Increase the efficiency of the boiler,Reduce steam temperature for auxiliary uses after steam superheater,,,4
Which of the following is an important requirement for proper functioning of sacrificial anode system?,General,A,Good Insulation between anodes and ship???s hull,Good electrical continuity between anodes and ship's hull,Providing protection of anodes from being painted over during hull painting,Presence of an insulating material between anode and the cathode,,,2
"Purifier leaking bowl opened, cleaned n seal ring changed and put back but still leaking what might b wrong?",General,A,high temp,high density,disc size not proper,rpm low,,,4
Increased fuel injection temperature and maintaining recommended viscosity of a new bunkers fuel oil.,General,A,viscotherm running fine,Problem in viscotherm,best quality bunkers,None,,,1
Overall length of pairs of rams is reduced in which of the following tiller designs of a steering gear arrangement?,General,A,Forked tiller design,Round arm tiller design,Conventional tiller design,None of the above,,,1
Engaging the turning gear and turning the engine until working temperatures are reduced,General,A,Blank starting air to the affected cylinder,Shut cylinder oil to the affected cylinder,.Shut all cylinder liner ports of affected cylinder,Open relief valve of affected cylinder,,,1
"You as a fourth engineer have taken over watch from third engineer. He said OWS is running in 0 ppm. But after taking over watch you observed that fresh water flushing valve is crack open. After closing it, suddenly the oil content has exceeded 15ppm. What will you do?",General,A,shut the OWS & inform CEO.,shut the OWS but no need to inform anyone.,Don't touch the appratus & inform CEO.,Just check that there is no visible colour/oil traces in sea water so don't have to inform anyone.,,,1
The coating on an electrode used for electric arc welding,General,A,creates a gas shield to prevent oxidation of the weld material,helps the weld formation by shaping the metal transfer,provides an electrical insulation for the user,All of the above,,,1
Which vessel is mostly used for carrying NH3/ LPG,General,A,Semi pressurized,Fully pressurized,Fully refrigerated,All the above,,,2
"Pump, when coupled to constant speed motor , the discharge quantity will not change with following pumps",General,A,heleshaw,steering gear swash plate type,Gear pump,None,,,3
Purpose of preferential trip to prevent,General,A,blackout,To avoid overload,to start heavy machinery,all,,,1
"Flooding in E/R,",General,A,pump out through OWS to overboard,pump out through EMERGENCY Bilge pump,pump out through General Service pump,all,,,2
"In Stern tube, aft of FOREWARD SEAL is leaking then",General,A,forward tank oil level increase,Drop in header tank level,Forward tank oil level decrease,Increase in header tank level,,,2
IG System number of no return valve,General,A,1,2,3,at least one if deck seal is provided otherwise two,,,4
PLATE type heat exchanger is preferred for following advantage,General,A,high heat transfer,easy to clean,increased time between clean,all,,,4
For carry out major work in tank –,General,A,First aid in entrance,refreshment,entry/exit time of personnel,all,,,4
Increasing the rotational speed of a cargo pump the pump flow rate will:,General,A,Increase in direct proportion to the increase in speed,Decrease in direct proportion to the increase in speed,Flow rate doesn't depend upon speed,Flow,,,1
"Boiler water level control, controlling swell and shrink of boiler with",General,A,feed water level,steam drum,water drum,none of the above,,,1
Tubing is sized by __________.,General,B,allowed working pressure,cross-section area,nominal inside diameter,nominal outside diameter,,,4
Short cycling of a refrigeration compressor refers to  __________.,General,B,frequently grounding out,frequently starting and stopping,running too fast,running too slow,,,2
The emergency bilge suction valve is typically used __________.,General,B,to inject cleaning additives when the bilges are extremely  dirty,"when the main condenser becomes fouled, in order to provide additional cooling water circulation",to connect the rose box to the independent bilge suction,if the bilges become flooded and they can not be emptied by any other means,,,4
"The by-products of oxidation, as a result of water  contamination of hydraulic oil, are generally __________.",General,B,removed by cellulose type filters,"gums, varnishes, and acids",always neutralized by oil additives,harmless and have no effect on system components,,,2
A record of the types and strengths of steels used on a MODU must be included in the __________.,General,B,general plans,builder's documentation,Certificate of Inspection,construction portfolio,,,4
Which of the fittings listed should be used for the installation of piping to permit removal of the pump for servicing?,General,B,Coupling,Union,Quick disconnect,Nipple,,,2
A continuous watertight bulkhead on a MODU may also be a/an __________.,General,B,structural bulkhead,exterior bulkhead,centerline bulkhead,joiner bulkhead,,,1
Which of the following describes the purpose of a striker or doubler plate?,General,B,"Provides a surface for the application of force, or the installation of machinery.",Provides landing surface for the sounding bob of a tank sounding tape.,Absorbs machinery vibration.,Prevents valve stem over travel.,,,2
A high reading at a salinity cell located in the loop seal between two stages of a flash type evaporator would indicate __________.,General,B,chill shocking is necessary to remove scale,leakage at the second-stage condenser,faulty operation of the brine overboard pump,carryover in the first-stage,,,4
"Regarding MODU construction, bulkheads in the quarters are  generally __________.",General,B,structural,watertight,non-structural,continuous,,,3
"In machine shop practice, a center gage is used for checking the angle of __________.",General,B,drill points,screw threads,screw thread pitch,60° thread cutting tools,,,4
"On all vessels equipped with refrigeration units of over 20 cubic foot capacity, __________.",General,B,"a gas mask suitable for protection against each refrigerant used, or a self contained breathing apparatus must be provided",it is the sole responsibility of the chief engineer to ascertain that all members of the engineering department are familiar with the use of gas masks or breathing apparatus,spare charges shall be carried for at least 50% of each size and variety of gas masks and/or self contained breathing apparatus,all of the above,,,1
A portion of the cargo of an LNG carrier boils off during each voyage.  How is the cargo boil off normally handled?,General,B,"Compressed, condensed, and return to the cargo tanks.",Vented to the atmosphere.,Burned in the boilers.,Mixed with nitrogen and recirculated through the primary barrier.,,,3
Air leaking into a flash type distilling plant could occur  through __________.,General,B,gasketed joints,valve stems,gage glass packing,all of the above,,,4
The construction portfolio may be included as part of the MODU __________.,General,B,general plans,operating manual,builders documentation,Coast Guard file,,,2
Which of the following statements represents the proper relative direction of flow through a globe valve?,General,B,Direction of flow through the valve is unimportant.,Direction of flow through the valve depends upon the type of seat design used in the valve.,Direction of flow should be from below the seat.,Direction of flow should be from above the seat.,,,3
Vertical partitions providing strength and compartmentation on a MODU are called __________.,General,B,decks,bulkheads,joiner work,walls,,,2
Which of the listed types steam traps operates on the principle that hot water flashes to steam when its vapor pressure is rapidly reduced?,General,B,Ball float,Thermostatic,Bimetallic,Impulse,,,4
The heat gained per pound of refrigerant in the evaporator  is known as the __________.,General,B,latent heat of vaporization,sensible heat,refrigerating effect,specific heat of vaporization,,,3
A squealing sound occurring from within an operating reciprocating air compressor is an indication of __________.,General,B,compressor overload,motor overload,tight compressor bearings,badly leaking unloaders,,,3
A mooring winch should be equipped with mechanical brakes capable of holding __________.,General,B,half the breaking strength of the mooring line,the full breaking strength of the mooring line,the maximum expected tension of the mooring line,50% over the working tension of the mooring line,,,2
The requirements for special welding procedures to be used  on a MODU must be contained in the __________.,General,B,vessel plans,Coast Guard file,construction portfolio,Certificate of Inspection,,,3
Bulkheads forming part of the tanks on a MODU are stiffened to withstand __________.,General,B,deck loads from above,dynamic forces while afloat,hydrostatic pressure,overpressurization,,,3
The operation of a thermostatic steam trap depends upon the __________.,General,B,action of a float within a chamber,difference in movement of two dissimilar bimetallic strips  not fastened together,fact that hot water under pressure tends to flash into steam when its vapor pressure is rapidly reduced,change in the amount of vapor produced within an enclosed chamber,,,4
The operation of a thermostatic steam trap depends upon the __________.,General,B,thermal expansion of a fluid,position of a float,tendency of hot water to flash into steam,flow characteristics of a liquid as it passes through an orifice,,,1
The process of removing moisture from air is known as __________.,General,B,humidification,dehumidification,vaporization,evaporation,,,2
Which of the following describes the function of the air receiver in the compressed air system on a MODU?,General,B,Condenses moisture.,Provides overpressure protection.,Purifies the air.,Acts as an accumulator.,,,4
Fluctuations in the pressure and temperature of the steam supplied to the first-effect of a low pressure submerged tube distilling plant will cause __________.,General,B,increased heat levels throughout the entire unit,decreased priming and lower salinity distillate,first effect scale formation to be loosened,pressure and temperature fluctuations in the entire unit,,,4
A centrifugal bilge pump requires priming __________.,General,B,primarily to lubricate the shaft seals,due to the inability of this type of pump to lift water to  cover the suction (eye) of the impeller,to initially unload the pump by having its head pressure equal to discharge pressure,in order to overcome the potential energy of water in the discharge line,,,2
A suitable location for the installation of an impulse type steam trap would be in the __________.,General,B,horizontal run of drain line from the lowest point at the outlet of the heat exchanger,steam supply line to a feedwater heater,drain line from a high point in the main steam line expansion loop,vacuum drag line from the atmospheric drain tank to the main condenser,,,1
Which of the listed conditions can lead to cavitation in a  centrifugal pump?,General,B,Vapor pockets formed in the suction flow stream.,Rough casing volute surfaces.,Worn wearing rings.,Partial restriction in the discharge valve.,,,1
The hydraulic oil most likely to thin out when hot and thick when cold would have a viscosity index of __________.,General,B,20,40,60,80,,,1
The decks of a MODU are supported by transverse members called __________.,General,B,trusses,deck longitudinals,deck beams,web frames,,,3
Why is electrical power preferred over mechanical power for driving heavy machinery on drilling rigs?,General,B,More fuel efficient.,More flexible.,Lighter.,Less maintenance.,,,2
"On a MODU, the keel is the primary strength member of the lower hull form and is laid in which direction?",General,B,Transverse,Diagonal,Longitudinal,Vertical,,,3
How is water traveling along the shaft of a centrifugal pump prevented from entering the shaft bearing?,General,B,Shaft seal,Water flinger,Drain hole,Lantern ring,,,2
Which of the following descriptions best identifies the operating principal of a flash-type evaporator?,General,B,Sea water is heated to boiling temperature while under a vacuum.,Sea water is passed over heated plates in a thin film.,Heated sea water is injected into a vacuum chamber.,Sea water is forced through a heated eductor.,,,3
"If air at 95°F dry bulb temperature and 50% relative humidity is conditioned to 75°F dry bulb temperature and 50% relative humidity, it is an example of __________.",General,B,cooling only,cooling and humidifying,cooling and dehumidifying,adiabatic cooling,,,3
The volatility of any oil may be indicated by __________.,General,B,the flash point,the fire point,the autogenous ignition point,All of the above.,,,4
A simplified construction plan may be included in the MODU  construction portfolio provided it adequately defines the __________.,General,B,areas where special materials are used,hazardous areas,location of emergency repair equipment,type and strength of materials used,,,1
What is a function of the wearing rings used in most centrifugal pumps?,General,B,Absorb erosion of high velocity discharge stream.,Seal pump shaft against entry of air.,Isolate the discharge side from the suction side.,Dampen the turbulent discharge flow.,,,3
"Between the side frames of a MODU, support for the deck beams is provided by __________.",General,B,stanchions,brackets,web frames,deck stringers,,,1
A pneumercator tank gage utilizes __________.,General,B,a Bourdon tube indicator,a balance chamber,an electronic sensing line,all of the above,,,2
"A tank of a MODU, with a volume of 2,000 cubic feet, is pressed up with sea water weighing 64 pounds per cubic foot. What is the weight, in kips, of the liquid?",General,B,54 kips,67 kips,78 kips,128 kips,,,4
"For MODU's operating under the U.S. flag, the construction  portfolio must contain __________.",General,B,detailed construction plans,chemical and physical properties of ABS approved steels,approved welding procedures and welding test procedures,loading conditions and limitations,,,3
"When liquid reaches the compressor of a refrigeration system through the suction line, the condition is called __________.",General,B,flooding back,superheating,overflowing,recycling,,,1
The term 'pour point' is defined as the lowest temperature  at which lubricating oils will flow __________.,General,B,rapidly,by gravity,through a standard orifice at a specified temperature,at a rate of 60cc per second,,,2
"In the MODU construction portfolio, materials which do not  conform to ASTM or ABS specifications must also include the __________.",General,B,chemical and physical properties of the material,name of the alternative standard or specification,the ASTM or ABS specification the material approximates,manufacturer or origin of the material,,,1
Deck beams on a MODU are generally spaced at equal intervals and run __________.,General,B,longitudinally,vertically,transversely,intermittently,,,3
"Which of the listed methods used for testing a metal, measures the ability of a metal to absorb the energy of a load rapidly applied to the member?",General,B,Brinell only,Charpy only,Charpy and Brinell,Rockwell and Brinell,,,2
An acetylene pressure regulator should never be adjusted to maintain pressures exceeding 15 psig (103.4 kPa) because __________.,General,B,the relief valve will lift,the fusible plug will blowout,rapid depletion of acetylene is hazardous,this gas become extremely unstable under this condition,,,4
The pressure range between the system cut-in and cut-out pressures in a refrigeration unit is known as __________.,General,B,opposing operational drag,pressure distribution,differential,system purge,,,3
"Prior to the burning or welding of a fuel tank on a MODU, regulations require that an inspection be made.  An entry in the unofficial logbook is required if this inspection is made by __________.",General,B,a marine chemist,"the Officer in Charge, Marine Inspection",the Master or person in charge of the MODU,the National Fire Protection Association,,,3
A welding procedure used for joining dissimilar metals used in the construction of a MODU would be recorded in the __________.,General,B,welding plan,ASTM specifications,construction portfolio,Coast Guard file,,,3
The record of tests and inspection of fire fighting equipment on board a MODU must include __________.,General,B,the name of the person conducting the test,the weight of the charge,recommendations for the next test,all of the above,,,1
The deck plating on a MODU is supported primarily by deck longitudinals and deck __________.,General,B,girders,stanchions,frames,beams,,,4
How long must the records of tests and inspections of fire  fighting equipment for a MODU be retained on board?,General,B,Six months,One year,Three years,Until the next inspection for certification,,,3
"A reciprocating air compressor is running roughly and vibrating excessively, indicating that the __________.",General,B,compressor is overloaded,motor is overloaded,foundation bolts are loose,belts are too tight,,,3
Increasing the moisture content of conditioned air is known as __________.,General,B,moisturizing,dehumidification,dampening,humidification,,,4
The master or person in charge of a MODU is required to log __________.,General,B,the date and hour of each fire drill,the names of all persons on board,only casualties which occur while underway,every event occurring on board,,,1
"In a radial piston pump, reversal and control of fluid flow are accomplished by moving the __________.",General,B,central valve,radial plunger,floating ring,cylinder body,,,3
What must be entered in the unofficial logbook by the master or person in charge of a mobile offshore drilling unit after conducting a fire drill?,General,B,"The condition of all fire fighting equipment, watertight door mechanisms, and valves used during each drill.",The location of the unit at the time each drill is  conducted.,The name of each crew member who participated in the drill  and their responsibilities.,All of the above.,,,1
"After conducting a boat drill, the master or person in charge of MODU shall log __________.",General,B,the names of crew members who participated in the drill,the length of time that each motor propelled lifeboat was operated in the drill,the length of time the lifeboat was in the water,the time it took to lower the boat,,,2
The deck loads on a MODU are distributed through the deck beams to the __________.,General,B,frames,hull,stringers,plates,,,1
One cause of leaky valves in a low pressure air compressor  may be attributed to __________.,General,B,running with an air filter element different from that required by the original manufacturer's specifications,excessive operating hours without carrying out preventive maintenance,the compressor running too fast,excessive discharge pressure,,,2
"To maintain design discharge pressure from a centrifugal pump, the design clearance must be maintained between the __________.",General,B,shaft and impeller,motor and pump shaft,casing and impeller wearing rings,lantern ring and impeller,,,3
Which of the following statements represents the difference between a four-jaw independent chuck and a three-jaw universal chuck?,General,B,The jaws on the three-jaw chuck can be individually adjusted.,The jaws on the four-jaw chuck can be individually adjusted.,"The three-jaw chuck will hold square, round, and irregular  shapes in either a concentric or an eccentric position.","Since the three-jaw universal chuck is automatically self-centering, it is always more accurate than the four-jaw independent chuck.",,,2
Enlarging one tube end so the end of another tube of the same size will fit inside is termed __________.,General,B,belling,stretching,flaring,swaging,,,4
Stern tube and strut bearings lined with hardwood or rubber composition materials are lubricated with __________.,General,B,saltwater,graphite,light lubricating oil,heavy lubricating oil,,,1
The purpose of annealing any metal is to make the metal __________.,General,B,softer,smoother,harder,tougher,,,1
"When the longitudinal strength members of a MODU are continuous and closely spaced, the vessel is __________.",General,B,transversely framed,longitudinally framed,intermittently framed,web framed,,,2
Lifeboat winches on a MODU are required to be inspected and an entry made in the logbook.  What should this entry include?,General,B,The time required to lower a lifeboat.,The time required to raise a lifeboat.,The date of inspection and condition of the winch.,All of the above.,,,3
A fluctuating and unsteady vacuum in an evaporator may be caused by __________.,General,B,wet steam entering the air ejector nozzle,pinhole leaks in the evaporator tube nests,rapid scaling on the evaporator tube nests,high water levels in the last effect,,,1
"If a radial piston hydraulic pump fails to deliver rated fluid volume, the cause can be __________.",General,B,contaminated fluid,pitted thrust rings,worn pintle bearings,obstructed suctions passage,,,4
Pipe threads are cut with a taper to __________.,General,B,prevent overtightening the joint,provide a leakproof fit,permit easy joint disassembly,produce a fine even thread,,,2
"When the tilting box of a variable stroke axial-piston pump is perpendicular to the pump shaft, which of the following  conditions will exist?",General,B,The pistons reciprocate.,"The ""B"" end cylinder barrel rotates.",There is no fluid flow.,Power is transmitted hydraulically.,,,3
Which of the refrigerants listed is considered safe and ideal for most marine applications?,General,B,R-21,Ammonia,R-22,Sulfur dioxide,,,3
Which of the following statements is used to describe the term 'base' in reference to greases?,General,B,Texture of the grease under load.,Temperature at which the grease softens or melts.,Type of soap used in its production.,Temperature below which the grease will be ineffective as a lubricant.,,,3
Closed impellers differ from open impellers in that closed  impellers __________.,General,B,allow liquid to enter the eye from one direction only,have side walls which extend from the eye to the outer edge of the vane tips,have small impeller eyes,are not vented above the impeller eye,,,2
The floating end of a shell-and-tube type cooler utilizes a packing ring to __________.,General,B,prevent leakage past the floating end tube sheet,dissipate heat,baffle cooling water so it can be directed on a multiple pass,modify to a mixer type cooler,,,1
A MODU having continuous closely spaced transverse strength members is __________.,General,B,longitudinally framed,transversely framed,cellular framed,web framed,,,2
"With respect to centrifugal pump design, which of the following descriptions best represents a pump utilizing two impellers?",General,B,Multistage,Axial flow,Dual coupled,Parallel flow,,,1
Which of the listed pipe sizes is not commonly used?,General,B,3/8 inch,1/2 inch,5/8 inch,3/4 inch,,,3
"When using a sling psychrometer to determine relative humidity, the indicated difference between the dry bulb and the wet bulb reading is the __________.",General,B,relative humidity,dew point,wet bulb 'depression',partial saturation temperature,,,3
The static positive suction head of a pump is the __________.,General,B,distance of the suction liquid level above the center line  of the pump,distance the suction liquid level is below the center line  of the pump,force necessary to overcome frictional losses in the pump and piping,amount in inches of mercury the total suction head is below atmospheric pressure,,,1
A grease lubricated ball bearing or roller bearing will run cooler if the grease __________.,General,B,fills only 10% of all void spaces within the bearing,has a high grease penetration number (is hard),is thinned with a suitable lubricating oil,is heated prior to packing the bearing,,,2
The ash content of a fuel oil is significant to the operating engineer because it __________.,General,B,is an indication of the amount of noncombustible material present in the oil,indicates the quantity of energy released by burning a unit amount of the fuel,is useful for determining proper atomization temperatures,reflects the overall thermal efficiency of the fuel oil service system,,,1
What is the diameter of a cylinder whose cross-sectional area is 706.86 square inches?,General,B,"36""","30""","24""","15""",,,2
"On a MODU, the deck stringer is the outboard most deck __________.",General,B,plating,beam,stiffener,stanchion,,,1
Which pipe listed has the largest outside diameter?,General,B,"A 3/4"" pipe with a standard wall thickness.","A 3/4"" pipe with an extra strong wall thickness.","A 3/4"" pipe with a double extra strong wall thickness.",All have the same outside diameter.,,,4
The sum of the sensible heat and the latent heat of any substance is known as __________.,General,B,total heat,residual heat,specific heat,superheat,,,1
Expansion of the tube bundle in a shell-and-tube type cooler may be provided for by the __________.,General,B,packing and lantern rings,floating end tube sheet,shell foundation bolts,directional transverse baffles,,,2
The pressure produced within the oil wedge of a rotating journal is __________.,General,B,the same as the pressure in the lubricating system,less than the pressure in the lubricating system,greater than the pressure in the lubricating system,highest at the oil groove location,,,3
"Which combination of the main shaft segments listed below,  that are located furthest from the main engine, are connected by the inboard stern tube shaft coupling?",General,B,Line shaft and thrust shaft,Line shaft and stern-tube shaft,Thrust shaft and stern-tube shaft,Stern-tube shaft and tail shaft,,,2
"Compared to internal structural plating, the exterior hull  plating on a MODU is usually __________.",General,B,stronger,thinner,more corrosion resistant,a lower grade steel,,,1
The gasket and the broken studs have been replaced on a tank manhole cover.  Which of the following methods is satisfactory for testing the repair?,General,B,"Pressurize the tank with 10 psig air, soap the repaired area, watch for visible signs of leakage or bubbles.",Fill the tank with water via the ballast pump until the innage reading corresponds to the maximum depth of the tank.,Hose test the repaired area with a minimum of 100 psig water pressure.,Fill the tank via the ballast pump until water flows from the vent line opening on deck.,,,3
Piping cross-sections over 12 inches in diameter are sized  by the __________.,General,B,inside diameter,wall thickness,outside diameter,threaded diameter,,,3
The static suction lift of a pump is the difference in elevation between the __________.,General,B,centerline of the pump and the level of the liquid in the suction well when the source of liquid is below the pump,centerline of the pump and the suction liquid level when the source of liquid is above the pump,centerline of the pump and the level of the discharge liquid,liquid levels of the suction and discharge,,,1
The heat identified by only a change in temperature is known as __________.,General,B,sensible heat,latent heat,total heat,residual heat,,,1
The usual number of single-acting pistons used in a variable stroke axial-piston pump is __________.,General,B,3 or 5,5 or 7,7 or 9,9 or 11,,,3
"Piping cross-sections ranging from 1/8 inch to 12 inches in diameter, are sized by __________.",General,B,wall strength,nominal inside diameter,outside diameter,threaded diameter,,,2
An axial piston pump differs from a radial piston pump as the pistons of an axial piston pump are positioned  __________.,General,B,radially from the shaft,parallel to each other and to the shaft,parallel to each other but at a right angle to the shaft,at an angle to each other and to the shaft,,,2
"In reference to air conditioning, when air attains the maximum amount of moisture it can hold at a specific temperature, it is said to be __________.",General,B,superheated,saturated,condensed,convected,,,2
"Positive displacement, helical gear pumps are well suited for pumping oil because __________.",General,B,stuffing boxes eliminate the leakage problems usually associated with other gear pumps,it is not necessary to closely maintain design clearances with this pump,they are essentially self-priming and produce a high suction lift,these pumps are designed with extreme tooth angles,,,3
"The conical steel or composition cone installed on a propeller, known as a fairwater cone, provides which of the following benefits?",General,B,Reduce turbulence,Help with lubrication,Protect against electrolytic corrosion,All of the above,,,1
