Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
"In a typical automatic fire alarm system, which of the listed actions will cause an indication of a fire to be given in the annunciator cabinet?",Naval,B,A rise in temperature will activate the thermostat.,The fire alarm test push-button is operated.,A manual fire alarm box is activated.,All of the above.,,,4
The purpose for the bag or box on top of some survival craft is to __________.,Naval,B,right it in case of capsize,increase area for radar detection,act as a sail in case of a power loss,steady the craft in heavy seas,,,1
Who is responsible for lowering the survival craft?,Naval,B,Roustabout,First man aboard,Last man aboard,Helmsman,,,4
"To activate an air regeneration canister on a survival craft, you __________.",Naval,B,put it into an container of water,tear off the tabs on the canister,turn it upside down,push 'on' button,,,2
The air regeneration canister on  a survival craft is designed to __________.,Naval,B,assist in cold starting the engine,fill the accumulator bottles,help start the engine,remove carbon dioxide and provide oxygen,,,4
"A patient has an electrical burn, after checking breathing  and pulse, __________.",Naval,B,"look for a second burn, which may have been caused by the current exiting the body",locate the nearest water source and flood the burn with water for five minutes,remove any dirt or charred skin from the area of the burn,apply ointment to the burn area and wrap with clean cloth,,,1
The air regeneration canister on a survival craft should last approximately __________.,Naval,B,one hour,two hours,three hours,four hours,,,1
"When abandoning a MODU, following the launching of the survival craft you should __________.",Naval,B,plot a course for the nearest land,take a vote on which direction you should go,stay in the immediate area,go one direction until fuel runs out,,,3
"When the scuppers are plugged and an oil spill occurs on deck, you should __________.",Naval,B,remove plugs from scuppers and wash fuel overboard with water,"use absorbent material, such as sawdust, to clean up the spill",remove plugs from scuppers to allow the spill to run overboard and wipe the area dry with rags,remove plugs from scuppers and wash the fuel overboard with a solvent,,,2
"On a tank vessel, which of the following substances would be burning in a class ""B"" fire?",Naval,B,Oil,Wood,Rags,Electrical wiring,,,1
Fire detecting systems on merchant vessels may be arranged  to sense __________.,Naval,B,smoke,rate of temperature rise,ionized particles,all of the above,,,4
Normally fire hose should be stowed with the __________.,Naval,B,female end connected to the fire hydrant,male end attached to the fire hydrant,female end connected to the nozzle,female end and nozzle arranged to be quickly run out to the fire,,,1
To prevent the spread of fire by convection __________.,Naval,B,cool the bulkhead around the fire,remove combustibles from direct exposure,close all openings to the area,shut off all electrical power,,,3
"If help has not arrived in 10-12 hours after having abandoned a MODU in a survival craft, you should __________.",Naval,B,go in one direction until the fuel runs out,plot course for the nearest land,take a vote on which direction you should go,shutdown the engines and set the sea anchor,,,4
Treatment of heat exhaustion should consist of __________.,Naval,B,moving to a shaded area and laying down,bathing with rubbing alcohol,placing patient in a tub of cold water,All the above,,,1
Dry chemical extinguishing agents are effective when used __________.,Naval,B,with any foam extinguishing agents,strictly in a cooling capacity,with any other dry chemical extinguishing agents,on materials that contain their own oxygen,,,3
Steering a survival craft broadside to the sea could cause  it to __________.,Naval,B,capsize,run smoother,run faster,sink,,,1
"If an oil spill occurs on deck, you should __________.",Naval,B,cover the area with foam,cover the area with absorbent material,wash down immediately with a fire hose,wash down immediately with an oil dispersing solvent,,,2
"Which of the listed burning materials would be described as a class ""B"" fire?",Naval,B,Acetylene,Lube oil,Grease,All of the above,,,4
"In a typical automatic fire alarm system, all zone circuits are always connected __________.",Naval,B,in parallel,in series,to the detecting cabinet,to the trouble alarm supervising resistor,,,3
Properly stowed fire hose is either faked or rolled into a  rack with the __________.,Naval,B,male and female ends connected together to prevent damage,female end available to be quickly connected to the hydrant,male end attached to the adjacent fire hydrant,nozzle end arranged to be easily run out to the fire,,,4
In heavy seas the helmsman should steer the survival craft  __________.,Naval,B,into the seas,broadside to the seas,in the same direction as the seas,in a series of figure-eights,,,1
Radiation can spread a fire by __________.,Naval,B,transmitting the heat of a fire through the ship's metal,burning liquids flowing into another space,heated gases flowing through ventilation systems,the transfer of heat across an unobstructed space,,,4
Which of the following conditions is a symptom of heat stroke __________.,Naval,B,"cold and moist skin, high body temperature","cold and dry skin, low body temperature","hot and moist skin, high body temperature","hot and dry skin, high body temperature",,,4
Dry chemical extinguishing agents extinguish a fire by __________.,Naval,B,cooling the fuel below ignition temperature,smothering and removing the oxygen from the fuel,breaking up the molecular chain reaction,removing the fuel by absorbing the heated vapors,,,3
At a speed of six knots the fuel aboard a survival craft should last __________.,Naval,B,8 hours,12 hours,24 hours,48 hours,,,3
"In the event of a small bunker oil spill on deck occurring  while fueling, you should __________.",Naval,B,wash down the area immediately with a fire hose,wash down the area with kerosene,cover the area with absorbent material,cover the area with foam,,,3
"A grade ""E"" petroleum product is __________.",Naval,B,a flammable liquid,a combustible liquid,kerosene,light fuel oil,,,2
The source of power for the CO2 alarm is obtained from __________.,Naval,B,the emergency power and lighting bus,the general alarm 24 volt DC bus,the flow of CO2 under pressure,all of the above,,,3
Fire hoses should always be stowed at the fire main in a manner which will allow __________.,Naval,B,all sections to be quickly connected,the nozzle end to be run out to the fire,all sections to be quickly drained,the nozzle and fittings to be easily and quickly inspected,,,2
"When the survival craft is supplied with bottles of compressed air, they are used for __________.",Naval,B,personnel air supply,additional flotation,priming the sprinkler system,filling the self-righting bags,,,1
"With the air supply on, the air pressure in the survival craft will be __________.",Naval,B,changing in relation to the speed of the craft,less than outside air pressure,greater than outside air pressure,equal to outside air pressure,,,3
Which of the listed conditions is a symptom of sun stroke?,Naval,B,"Temperature falls below normal, pulse is rapid and feeble,  and skin is cold and clammy.","Temperature is high, pulse is strong and rapid, and skin is hot and dry.","Temperature is high, pulse is slow and feeble, and skin is  clammy.","Temperature falls below normal, pulse is rapid, and skin is clammy.",,,2
An 'on-load' release system on a survival craft means the cable can be released __________.,Naval,B,only when the load is taken off the cable,only there is a load on the cable,only when activated by the controls at the lowering station,at any time,,,4
Small oil spills on deck can be prevented from contaminating any waters by __________.,Naval,B,plugging all scuppers and drains,placing floating booms around the ship,regularly emptying all drip pans,thoroughly draining all bunkering hoses,,,1
The 'off-load' release system on a survival craft is designed to be activated __________.,Naval,B,when there is no load on the cable,when there is a load on the cable,only when the doors are closed,when the engine is started,,,1
"When inspecting a survival craft, you should check to make  sure that the __________.",Naval,B,sea anchor is deployed,hydraulic starting system has been drained,hydraulic pressure is within the specified range,steering controls are locked,,,3
A fire hose should be stowed in its rack with the __________.,Naval,B,hose sections disconnected,foam nozzle attached,all-purpose nozzle attached,hose sections rolled separately,,,3
"Aboard a survival craft, ether can be used to __________.",Naval,B,start the engine in cold weather,aid in helping personnel breathe,prime the sprinkler system,prime the air supply,,,1
The backup system on an electric start survival craft is a  __________.,Naval,B,hydraulic system,pneumatic system,spare battery,hand crank,,,4
Treatment of sunstroke consists principally of __________.,Naval,B,"cooling, removing to shaded area and having the victim lay  down",bathing with rubbing alcohol,drinking ice water,All of the above,,,1
"In a cartridge-operated dry chemical type fire extinguisher, when the CO2 cartridge is activated, the dry chemical is released from the extinguisher __________.",Naval,B,with the squeeze grip trigger on top of the container,by squeezing the control valve carrying handle,by turning the activating handle on the bottom of the container,with the squeeze-grip on/off nozzle at the end of the hose,,,4
"If the engine of a survival craft does not start, check to  see __________.",Naval,B,if the fuel valve is open,if the air supply system is open,if the water sprinkler system is open,if the limit switch is on,,,1
Small oil spills on deck may be prevented from entering the water by __________.,Naval,B,keeping the drip pans empty,plugging all scuppers and drains,placing floating booms alongside the ship,closing ullage openings between soundings,,,2
"If the survival craft is not loaded to full capacity, the personnel should be __________.",Naval,B,loaded more on port side to forward,loaded equally on both sides with more forward,loaded equally on both sides with more aft,allowed to sit anywhere,,,3
"When a rescue vessel approaches a survival craft in heavy seas, the person in charge of the survival craft should __________.",Naval,B,tie up to the rescue vessel,transfer only those personnel who are not seasick,wait for calmer weather before transferring personnel,transfer all personnel immediately,,,3
"Fire hoses located at protected fire stations, must always  be __________.",Naval,B,connected to the fire hydrant,capped on the ends for protection,supplied with a smooth bore nozzle,open to the air to prevent rot,,,1
"When a helicopter is lifting personnel from a survival craft, the other individuals in the craft should __________.",Naval,B,enter the water in case the person being lifted slips from  the sling,stand on the outside of the craft to assist the person being lifted,remove their lifejackets to prepare for their transfer to the helicopter,remain seated inside the craft to provide body weight for stability,,,4
Using a sea anchor with the survival craft will __________.,Naval,B,reduce your drift rate,keep the survival craft from turning over,aid in recovering the survival craft,increase your visibility,,,1
"To effectively treat a person suffering from heat exhaustion, you should __________.",Naval,B,administer artificial respiration,put him in a tub of ice water,give him sips of cool saline solution,take his blood pressure,,,3
"When an electrical fire has been extinguished with a dry chemical agent, there is always a possibility of the __________.",Naval,B,machinery suffering thermal shock damage,fire being rekindled by spontaneous combustion,electrical contacts or relays being rendered inoperative,chemical crystals suffocating the fire fighter,,,3
The survival craft engine is fueled with __________.,Naval,B,kerosene,unleaded gasoline,diesel oil,liquefied gas,,,3
Which of the conditions listed is necessary for a substance to burn?,Naval,B,The temperature of the substance must be equal to or above  its fire point.,The air must contain oxygen in sufficient quantity.,The mixture of vapors with air must be within the 'explosive range.',All of the above.,,,4
The sprinkler system of a survival craft is used to __________.,Naval,B,cool the craft in a fire,cool the engine,spray oil on the sea to calm it,spray personnel during a fire,,,1
A right-handed propeller will cause the survival craft to __________.,Naval,B,walk the stern to starboard in reverse,walk the stern to port in reverse,run faster than a left-handed propeller,right the survival craft if capsized,,,2
"To properly maintain fire hoses, you should __________.",Naval,B,keep them rolled tightly in the rack with female coupling protected,keep exterior linings damp by periodic washdowns,thoroughly drain them after each use,keep them partially filled with fresh water,,,3
"During the towing of a survival craft, a lookout should be  on station to __________.",Naval,B,release the towline in an emergency,help the helmsman steer,look for food and water,check water level in the bilge,,,1
"Which of the following methods should be used to prevent a class ""A"" fire in a topside compartment, with steel bulkheads, from spreading to the adjacent compartments?",Naval,B,Sweep all exterior surfaces with water water fog until the fire is reportedly extingished.,Sweep all exterior surfaces with a solid stream of water until the fire is reportedly extinguished.,"Sweep all exterior surfaces with a solid stream of water until steam is no longer produced, secure the nozzel, and repeat as necessary.","Sweep all exterior surfaces with water fog until steam is no longer produced, secure the nozzle, and repeat as necessary.",,,4
The MAIN objection to the use of a dry chemical fire extinguisher on an electrical fire is that the __________.,Naval,B,extinguishing action is not as good as with soda acid,powder conducts electricity back to the fire fighter,dry chemical leaves a powder residue which may render electrical equipment inoperative,extinguisher will need to be recharged,,,3
"When using a handheld smoke signal aboard a survival craft, you should activate the signal __________.",Naval,B,on the downwind side of the craft,on the upwind side of the craft,inside the craft,at the stern of the craft,,,1
The scuppers should be plugged __________.,Naval,B,only if fixed containment is not used,only if portable containment is not used,only if fixed containment drains are open,whenever the vessel is being fueled,,,4
"A class ""C"" fire would most likely occur in the __________.",Naval,B,engine room bilges,main switchboard,paint locker,rag bin,,,2
"When retrieving the survival craft, the winch operator should stop the winch and check __________.",Naval,B,that all personnel are seated in the craft,that the cable has not jumped any grooves on the drum,which way the wind is blowing,the hydraulic fluid level before lifting,,,2
"While retrieving the survival craft, the engine should be stopped __________.",Naval,B,when the craft clears the water,when the cable has been attached,on approach to the platform,at the embarkation,,,1
"When retrieving the survival craft, the helmsman should instruct the crewman to __________.",Naval,B,check the fuel level,open the doors,take the lifejackets off,check that hooks are fully locked in place,,,4
Limit switches are located on the survival craft winch systems for MODUs to __________.,Naval,B,stop the winch just before the craft reaches final stowage position,limit the amount of cable on the drum,limit the ascent rate,stop the winch in case the craft weighs too much,,,1
Physical exertion on the part of a person who has fallen into cold water can __________.,Naval,B,be the best thing to try if there were no rescue in sight,increase survival time in the water,increase the rate of heat loss from the body,not affect the heat loss from the body,,,3
When fighting a fire with a portable dry chemical extinguisher you should always __________.,Naval,B,direct the stream of chemical toward the base of the fire,attack the fire from the leeward side,bounce the chemical onto the fire from adjacent structural  members,spray the chemical across the tops of the flames,,,1
Small oil spills on deck can be kept from contaminating the surrounding waters by __________.,Naval,B,driving wooden plugs into the vents,closing the lids on the vents,plugging the scuppers,keeping plugs in the sounding pipes,,,3
"A class ""C"" fire would occur in __________.",Naval,B,bedding,pipe insulation,paint,a generator,,,4
All MODU personnel should be familiar with the survival craft __________.,Naval,B,boarding and operating procedures,maintenance schedule,navigational systems,fuel consumption rates,,,1
Which of the following statements concerning fire hose couplings is true?,Naval,B,Fire hose couplings are strong and not easily damaged.,Fire hose couplings must be lubricated with oil.,Fire hose couplings can be easily damaged by dropping.,Fire hose couplings should be painted red.,,,3
"If water is rising in the bilge of a survival craft, you should first __________.",Naval,B,abandon the survival craft,check for cracks in the hull,shift all personnel to the stern,check the bilge drain plug,,,4
The air cylinder bottles in the survival craft should be refilled with __________.,Naval,B,oxygen,nitrogen,compressed air,nitrogen and oxygen,,,3
A crew member has suffered frostbite to the toes of both feet.  You should __________.,Naval,B,immerse the feet in warm water,warm the feet with a heat lamp,warm the feet at room temperature,rub the feet to restore circulation,,,1
"The best way to effectively use a dry chemical type fire extinguisher in fighting a fire, is to __________.",Naval,B,discharge a stream horizontally and allow it to flow down evenly on all burning surfaces,"discharge a stream at the base of the fire, starting at the near edge, and use side-to-side sweeping motions",play the stream off adjacent vertical surfaces until the area is blanketed,use concentrated amounts in small locations and put the fire out in sections,,,2
"With the sprinkler system and air system on, and all hatches shut, the survival craft will be protected from __________.",Naval,B,a nuclear environment,a fire and toxic environment,a hurricane,a drop greater than ten feet,,,2
"A class ""C"" fire is burning __________.",Naval,B,diesel oil,magnesium,dunnage,electrical insulation,,,4
MODU survival craft is manufactured with fire retardant __________.,Naval,B,foam,marine plywood,steel,fiberglass,,,4
Fire hose should always be stowed at the fire station in the hose rack __________.,Naval,B,after the hose has been completely drained,with the nozzle in the solid stream position,so the hose can be connected quickly if a fire occurs,so the nozzle is protected by the hose,,,1
"When transferring survivors from a survival craft to a rescue vessel, personnel onboard the craft should __________.",Naval,B,remove their lifejackets to make it easier to climb onboard the rescue vessel,climb on top of the survival craft while waiting for their  turn to transfer to the rescue vessel,remain seated inside the survival craft and make the transfer one person at a time,enter the water and swim over to the rescue vessel,,,3
"Except in rare cases, it is impossible to extinguish a shipboard fire by __________.",Naval,B,removing the heat,removing the oxygen,removing the fuel,interrupting the chain reaction,,,3
